*** Booting nRF Connect SDK 3758bcbfa5cd ***
Test sample main() - debug startup helper
Test sample main()
Sensor device 0x2a26c name is bme688@76
default bme688 mode is Forced Mode
Sample count, Temperature(deg C), Pressure(Pa), Humidity(%), Gas resistance(ohm)
1, 23.67, 102144.29, 79.07, 5684.85
2, 23.71, 102148.37, 78.70, 5684.85
3, 23.71, 102152.01, 78.28, 5684.85
4, 23.73, 102149.45, 79.48, 5684.85
5, 23.75, 102150.52, 79.62, 5684.85
6, 23.79, 102153.31, 79.08, 5684.85
7, 23.77, 102150.74, 78.74, 5684.85
8, 23.78, 102151.59, 78.91, 5684.85
9, 23.77, 102156.74, 78.37, 5684.85
10, 23.76, 102148.62, 78.15, 5684.85
11, 23.77, 102150.32, 78.16, 5684.85
12, 23.85, 102145.44, 79.06, 5684.85
13, 23.84, 102150.77, 78.65, 5684.85
14, 23.79, 102154.18, 77.94, 5684.85
15, 23.77, 102153.52, 77.74, 5684.85
16, 23.75, 102147.31, 77.61, 5866.18
17, 23.76, 102151.39, 77.49, 5961.25
18, 23.76, 102145.83, 77.52, 6146.75
19, 23.76, 102149.04, 77.67, 6310.39
20, 23.73, 102147.53, 77.73, 6526.62
21, 23.73, 102144.76, 77.76, 6681.98
22, 23.75, 102147.74, 77.64, 6849.31
23, 23.76, 102142.61, 77.61, 6983.85
24, 23.75, 102144.10, 77.63, 7114.27
25, 23.74, 102146.03, 77.70, 7254.59
26, 23.75, 102146.88, 77.71, 7374.97
27, 23.75, 102141.76, 77.65, 7494.15
28, 23.77, 102152.67, 77.72, 7639.05
29, 23.76, 102145.83, 77.70, 7716.42
30, 23.75, 102152.03, 77.75, 7823.96
31, 23.77, 102147.10, 77.69, 7940.45
32, 23.76, 102146.25, 77.72, 8084.89
33, 23.76, 102149.45, 77.72, 8152.87
34, 23.76, 102143.90, 77.70, 8196.72
35, 23.77, 102147.10, 77.78, 8324.66
36, 23.77, 102145.19, 77.82, 8390.14
37, 23.78, 102146.04, 78.20, 8436.59
38, 23.78, 102143.70, 77.90, 8544.73
39, 23.78, 102146.48, 77.76, 8634.65
40, 23.78, 102149.68, 77.86, 8683.85
41, 23.78, 102146.04, 77.78, 8769.53
42, 23.78, 102148.81, 77.69, 8864.27
43, 23.79, 102142.63, 77.66, 8938.55
44, 23.79, 102144.98, 77.64, 8968.61
45, 23.78, 102141.34, 77.63, 9052.33
46, 23.78, 102141.34, 77.62, 9114.21
47, 23.78, 102140.47, 77.61, 9184.84
48, 23.79, 102142.20, 77.57, 9248.55
49, 23.79, 102140.70, 77.53, 9313.16
50, 23.79, 102140.29, 77.52, 9337.61
51, 23.78, 102144.55, 77.53, 9403.47
52, 23.79, 102143.48, 77.52, 9478.67
53, 23.80, 102147.55, 77.52, 9538.00
54, 23.80, 102144.34, 77.50, 9538.00
55, 23.79, 102139.41, 77.51, 9572.24
56, 23.79, 102145.84, 77.54, 9658.92
57, 23.79, 102142.63, 77.54, 9676.44
58, 23.80, 102144.34, 77.52, 9729.40
59, 23.79, 102142.63, 77.41, 9800.92
60, 23.80, 102136.00, 77.46, 9837.07
61, 23.79, 102143.48, 77.54, 9855.25
62, 23.79, 102149.04, 77.53, 9928.64
63, 23.79, 102140.70, 77.49, 9965.74
64, 23.80, 102141.56, 77.39, 10031.35
65, 23.80, 102149.48, 77.39, 10069.23
66, 23.79, 102147.76, 77.46, 10059.73
67, 23.77, 102142.84, 77.49, 10136.21
68, 23.78, 102146.04, 77.51, 10145.85
69, 23.77, 102138.77, 77.49, 10253.12
70, 23.77, 102141.98, 77.53, 10223.64
71, 23.76, 102137.91, 77.57, 10292.70
72, 23.76, 102137.49, 77.60, 10342.60
73, 23.76, 102137.49, 77.60, 10342.60
74, 23.75, 102138.98, 77.60, 10342.60
75, 23.76, 102145.40, 77.62, 10372.77
76, 23.76, 102142.61, 77.63, 10474.63
77, 23.77, 102142.84, 77.62, 10423.45
78, 23.78, 102140.47, 77.61, 10454.10
79, 23.77, 102137.29, 77.60, 10495.24
80, 23.77, 102141.98, 77.60, 10515.94
81, 23.76, 102138.34, 77.60, 10568.03
82, 23.77, 102139.20, 77.59, 10610.08
83, 23.78, 102132.58, 77.58, 10641.84
84, 23.77, 102138.77, 77.57, 10705.92
85, 23.78, 102146.04, 77.61, 10705.92
86, 23.78, 102140.47, 77.62, 10738.25
87, 23.77, 102138.77, 77.61, 10759.92
88, 23.78, 102137.70, 77.59, 10825.44
89, 23.78, 102138.56, 77.58, 10847.46
90, 23.77, 102128.51, 77.55, 10825.44
91, 23.77, 102142.84, 77.58, 10858.50
92, 23.77, 102139.62, 77.60, 10880.65
93, 23.79, 102131.52, 77.60, 10914.05
