Temperature,Humidity,Condition
29.46,42.82,Non-Ideal
29.5,42.66,Non-Ideal
29.5,42.38,Non-Ideal
29.53,42.2,Non-Ideal
29.56,41.97,Non-Ideal
29.56,41.98,Non-Ideal
29.54,42.01,Non-Ideal
29.54,41.99,Non-Ideal
29.54,41.96,Non-Ideal
29.56,41.94,Non-Ideal
29.56,41.95,Non-Ideal
29.56,41.98,Non-Ideal
29.57,42.03,Non-Ideal
29.57,42.13,Non-Ideal
29.57,42.16,Non-Ideal
29.57,42.18,Non-Ideal
29.59,42.18,Non-Ideal
29.59,42.13,Non-Ideal
29.6,42.07,Non-Ideal
29.6,42.01,Non-Ideal
29.6,41.96,Non-Ideal
29.6,41.91,Non-Ideal
29.61,41.81,Non-Ideal
29.6,41.79,Non-Ideal
29.6,41.8,Non-Ideal
29.6,41.81,Non-Ideal
29.62,41.81,Non-Ideal
29.62,41.8,Non-Ideal
29.62,41.8,Non-Ideal
29.63,41.77,Non-Ideal
29.62,41.73,Non-Ideal
29.62,41.6,Non-Ideal
29.62,41.45,Non-Ideal
29.62,41.39,Non-Ideal
29.63,41.45,Non-Ideal
29.62,41.5,Non-Ideal
29.64,41.55,Non-Ideal
29.63,41.54,Non-Ideal
29.63,41.54,Non-Ideal
29.63,41.55,Non-Ideal
29.64,41.57,Non-Ideal
29.65,41.61,Non-Ideal
29.65,41.61,Non-Ideal
29.65,41.56,Non-Ideal
29.64,41.47,Non-Ideal
29.64,41.3,Non-Ideal
29.65,41.26,Non-Ideal
29.64,41.19,Non-Ideal
29.65,41.22,Non-Ideal
29.64,41.31,Non-Ideal
29.64,41.43,Non-Ideal
29.66,41.53,Non-Ideal
29.66,41.57,Non-Ideal
29.66,41.56,Non-Ideal
29.65,41.46,Non-Ideal
29.65,41.37,Non-Ideal
29.65,41.42,Non-Ideal
29.66,41.52,Non-Ideal
29.65,41.61,Non-Ideal
29.65,41.63,Non-Ideal
29.64,41.67,Non-Ideal
29.65,41.66,Non-Ideal
29.66,41.6,Non-Ideal
29.65,41.54,Non-Ideal
29.66,41.47,Non-Ideal
29.66,41.49,Non-Ideal
29.66,41.54,Non-Ideal
29.66,41.62,Non-Ideal
29.68,41.67,Non-Ideal
29.68,41.68,Non-Ideal
29.68,41.69,Non-Ideal
29.68,41.76,Non-Ideal
29.68,41.84,Non-Ideal
29.69,41.9,Non-Ideal
